CLUSTER	TOP_DECILE	RANK
0	False	10772
1	False	13818
2	False	12333
3	False	12136
4	False	15818
5	False	15573
6	False	14882
7	False	15573
8	False	14408
9	False	14728
10	False	15245
11	False	15610
12	False	15115
13	False	16270
14	False	13165
15	False	14813
16	False	17089
17	False	11678
18	False	17323
19	False	16434
20	False	13803
21	False	13690
22	False	14432
23	False	11773
24	False	13117
25	False	13868
26	False	14758
27	False	15077
28	False	14320
29	False	12506
30	False	17068
31	False	13821
32	False	13418
33	False	15433
34	False	14702
35	False	14638
36	False	13837
37	False	14229
38	False	12260
39	False	9399
40	False	11125
41	False	9793
42	False	10394
43	False	13838
44	False	13689
45	False	12777
46	False	13183
47	False	12674
48	False	11979
49	False	14938
50	False	13300
51	False	14575
52	False	14648
53	False	14236
54	False	14906
55	False	11863
56	False	14277
57	False	14345
58	False	14654
59	False	14724
60	False	14835
61	False	13900
62	False	15212
63	False	15599
64	False	13869
65	False	10241
66	False	11897
67	False	11560
68	False	11658
69	False	13317
70	False	9615
71	False	9563
72	False	11266
73	False	12758
74	False	13590
75	False	9018
76	False	17096
77	False	16545
78	False	15087
79	False	17159
80	False	14200
81	False	14769
82	False	17285
83	False	13918
84	False	13729
85	False	12669
86	False	13359
87	False	13497
88	False	13612
89	False	13735
90	False	13384
91	False	13467
92	False	13549
93	False	13366
94	False	13434
95	False	13704
96	False	13601
97	False	13828
98	False	14148
99	False	13925
100	False	13434
101	False	12968
102	False	12749
103	False	13406
104	False	13485
105	False	13443
106	False	13935
107	False	13499
108	False	13641
109	False	12952
110	False	11539
111	False	13311
112	False	11024
113	False	10084
114	False	11785
115	False	11866
116	False	12885
117	False	12523
118	False	12989
119	False	7819
120	False	12142
121	False	1736
122	False	3225
123	False	12421
124	False	13492
125	False	12439
126	False	14193
127	False	14809
128	False	14256
129	False	14755
130	False	14235
131	False	13293
132	False	13180
133	False	14785
134	False	14937
135	False	15117
136	False	13113
137	False	14442
138	False	14538
139	False	11574
140	False	13673
141	False	14404
142	False	13706
143	False	12995
144	False	13454
145	False	2246
146	False	2392
147	False	13228
148	False	13139
149	False	13756
150	False	11695
151	True	1168
152	False	1344
153	False	3084
154	False	4909
155	False	12714
156	True	414
157	True	595
158	True	354
159	False	1800
160	True	215
161	False	9948
162	False	2177
163	False	11106
164	False	13616
165	False	15039
166	False	14636
167	False	14333
168	False	12132
169	False	1141
170	False	13850
171	False	13862
172	False	15054
173	False	12906
174	False	12672
175	False	13684
176	False	14822
177	False	14683
178	False	14061
179	False	7792
180	False	8541
181	False	8589
182	False	7029
183	False	1668
184	False	4901
185	False	11879
186	True	716
187	False	4593
188	False	10028
189	False	9503
190	False	11691
191	False	13377
192	False	14222
193	False	13842
194	False	13772
195	False	14542
196	False	13178
197	False	13958
198	False	13669
199	False	14287
200	False	10459
201	False	8007
202	False	6887
203	False	10326
204	False	12832
205	False	12710
206	False	10437
207	True	11
208	True	11
209	False	3789
210	False	3721
211	False	7124
212	True	14
213	True	17
214	False	9530
215	False	7522
216	True	7
217	True	24
218	False	10757
219	False	12440
220	False	11273
221	True	15
222	True	99
223	False	1428
224	True	188
225	True	807
226	False	10913
227	False	1546
228	False	12179
229	False	11374
230	False	12636
231	False	13122
232	False	13108
233	False	13527
234	False	12174
235	False	12572
236	False	14877
237	False	2623
238	True	258
239	False	14963
240	False	15036
241	False	14574
242	False	14767
243	False	14906
244	False	13775
245	False	10061
246	False	1035
247	True	642
248	False	12468
249	False	14252
250	False	14822
251	False	15017
252	False	13130
253	False	7714
254	False	14663
255	False	12802
256	False	13103
257	False	14323
258	False	14452
259	False	15551
260	False	15479
261	False	15708
262	False	15557
263	False	15407
264	False	14976
265	False	14506
266	False	14745
267	False	14386
268	False	14289
269	False	14531
270	False	14611
271	False	14586
272	False	13432
273	False	13933
274	False	13825
275	False	12999
276	False	5147
277	False	15019
278	False	15336
279	False	12378
280	False	10758
281	True	568
282	False	11935
283	False	10353
284	False	13721
285	False	1659
286	False	15096
287	False	14549
288	False	14680
289	False	14177
290	False	14004
291	False	804
292	True	597
293	False	13417
294	False	8415
295	False	13559
296	False	13489
297	False	10794
298	False	14585
299	False	14404
300	False	14363
301	False	10289
302	False	2119
303	False	13569
304	False	14485
305	False	11696
306	False	14570
307	False	14174
308	False	10259
309	True	562
310	False	14634
311	False	15051
312	False	14665
313	False	13467
314	False	17260
315	False	14397
316	False	15625
317	False	15032
318	False	15153
319	False	15404
320	False	15547
321	False	14991
322	False	14868
323	False	14084
324	False	14827
325	False	15117
326	False	14514
327	False	14455
328	False	13840
329	False	14390
330	False	14479
331	True	208
332	False	12725
333	False	13974
334	False	15022
335	False	14412
336	True	262
337	True	954
338	False	13084
339	False	6710
340	False	8931
341	False	13947
342	False	14170
343	False	13237
344	False	12147
345	False	13941
346	False	8593
347	False	8410
348	True	312
349	False	5518
350	True	93
351	False	13245
352	False	14265
353	False	2961
354	False	14061
355	False	13397
356	False	12140
357	False	8481
358	False	11274
359	False	12762
360	False	13921
361	False	13448
362	False	14865
363	True	917
364	True	63
365	False	11342
366	False	5655
367	False	3618
368	False	8261
369	False	10371
370	False	13784
371	False	6019
372	False	12636
373	False	11183
374	True	272
375	False	14195
376	False	1316
377	False	6098
378	True	449
379	False	12869
380	False	11005
381	False	2429
382	False	12952
383	False	1476
384	False	6123
385	True	234
386	False	10352
387	True	94
388	False	13889
389	False	12686
390	False	10758
391	True	1467
392	True	422
393	False	14610
394	True	800
395	True	67
396	False	10379
397	False	14074
398	False	9887
399	False	14399
400	True	159
401	True	351
402	True	303
403	True	1237
404	False	14484
405	False	12054
406	False	14504
407	False	12068
408	False	9981
409	True	267
410	False	9651
411	True	683
412	True	583
413	True	445
414	True	464
415	False	9669
416	True	688
417	False	12316
418	False	5941
419	False	10656
420	False	7398
421	True	823
422	False	3243
423	True	812
424	True	713
425	False	2907
426	False	7987
427	True	476
428	True	236
429	True	405
430	False	3706
431	False	9019
432	True	143
433	False	13875
434	False	14192
435	False	14634
436	False	14641
437	False	13765
438	False	14409
439	False	14233
440	False	13339
441	False	13282
442	False	13196
443	False	13371
444	False	13936
445	False	1310
446	False	1213
447	False	1303
448	True	740
449	False	1406
450	True	738
451	False	962
452	False	3821
453	False	3915
454	False	2271
455	False	9517
456	False	12605
457	False	1493
458	True	412
459	True	393
460	True	396
